"Timestamp","Your Sex?","Your Matric (grade 12) Average/ GPA (in %)","What year were you in last year (2023) ?","What faculty does your degree fall under?","Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student)","Your Accommodation Status Last Year (2023)","Monthly Allowance in 2023","Were you on scholarship/bursary in 2023?","Additional amount of studying (in hrs) per week","How often do you go out partying/socialising during the week? ","On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)","How many modules have you failed thus far into your studies?","Are you currently in a romantic relationship?","Do your parents approve alcohol consumption?","How strong is your relationship with your parent/s?"
"2024/03/07 5:36:14 pm EET","Male","76","2nd Year","Science","65","Private accommodation/ stay with family/friends","R 7001 - R 8000","No","8+","1","0","0","0","Yes","Yes","Very close"
"2024/03/07 5:36:30 pm EET","Female","80","2nd Year","Engineering","61","Private accommodation/ stay with family/friends","R 7001 - R 8000","No","3-5","Only weekends","1-3","","0","Yes","Yes","Close"
"2024/03/07 5:36:45 pm EET","Female","73","","Arts & Social Sciences","","Private accommodation/ stay with family/friends","R 4001- R 5000","Yes (NSFAS, etc...)","3-5","2","1-3","0","0","No","Yes","Very close"
"2024/03/07 5:37:16 pm EET","Male","85","4th Year","AgriSciences","76","Private accommodation/ stay with family/friends","R 6001 - R 7000","No","5-8","2","8+","0","0","Yes","Yes","Very close"
"2024/03/07 5:37:18 pm EET","Female","84","2nd Year","Science","65","Non-private accommodation ie. Res","","Yes (NSFAS, etc...)","5-8","1","1-3","0","0","Yes","Yes","Very close"
"2024/03/07 5:39:13 pm EET","Male","85","1st Year","Arts & Social Sciences","58","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","3-5","Only weekends","5-8","2","0","No","Yes","Very close"
"2024/03/07 5:39:33 pm EET","Female","75","2nd Year","Arts & Social Sciences","","Private accommodation/ stay with family/friends","R 4001- R 5000","Yes (NSFAS, etc...)","5-8","Only weekends","1-3","0","2","Yes","","Very close"
"2024/03/07 5:39:33 pm EET","Female","98.33","2nd Year","Economic & Management Sciences","95.22","Non-private accommodation ie. Res","R 4001- R 5000","No","8+","1","0","0","0","No","Yes","Close"
"2024/03/07 5:41:22 pm EET","Female","70","1st Year","AgriSciences","60","Private accommodation/ stay with family/friends","R 6001 - R 7000","No","5-8","3","1-3","0","1","No","No","Very close"
"2024/03/07 5:41:41 pm EET","Male","75","2nd Year","Economic & Management Sciences","65","Private accommodation/ stay with family/friends","R 6001 - R 7000","No","8+","1","5-8","0","2","Yes","Yes","Very close"
"2024/03/07 5:43:23 pm EET","Female","76","2nd Year","Law","60","","R 4001- R 5000","No","1-3","3","5-8","2","0","No","Yes","Very close"
"2024/03/07 5:43:24 pm EET","Female","87","","Science","","","","","8+","Only weekends","1-3","0","0","No","Yes","Very close"
"2024/03/07 5:43:30 pm EET","Male","75","2nd Year","Economic & Management Sciences","58","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","3-5","2","8+","0","0","Yes","No","Very close"
"2024/03/07 5:45:25 pm EET","Male","86","3rd Year","AgriSciences","55","Private accommodation/ stay with family/friends","R 5001 - R 6000","Yes (NSFAS, etc...)","1-3","1","8+","1","3","No","Yes","Very close"
"2024/03/07 5:45:25 pm EET","Female","80","3rd Year","Medicine and Health Services","71","Private accommodation/ stay with family/friends","R 8000+","No","5-8","Only weekends","1-3","0","0","No","Yes","Very close"
"2024/03/07 5:46:41 pm EET","Female","75","3rd Year","Arts & Social Sciences","60","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","8+","1","8+","0","0","Yes","Yes","Very close"
"2024/03/07 5:46:44 pm EET","Female","75","2nd Year","Economic & Management Sciences","70","Private accommodation/ stay with family/friends","R 8000+","No","5-8","1","5-8","3","0","No","Yes","Very close"
"2024/03/07 5:47:22 pm EET","Female","80","2nd Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 4001- R 5000","No","8+","Only weekends","5-8","0","1","Yes","Yes","Very close"
"2024/03/07 5:48:23 pm EET","Female","75","3rd Year","Economic & Management Sciences","64","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","8+","Only weekends","5-8","0","1","No","Yes","Very close"
"2024/03/07 5:48:53 pm EET","Female","85","3rd Year","Science","84","Non-private accommodation ie. Res","R 5001 - R 6000","Yes (NSFAS, etc...)","8+","2","5-8","0","0","Yes","Yes","Very close"
"2024/03/07 5:49:47 pm EET","Female","79","2nd Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","5-8","1","5-8","1","2","No","Yes","Very close"
"2024/03/07 5:50:11 pm EET","Male","","3rd Year","Medicine and Health Services","61","Non-private accommodation ie. Res","R 4001- R 5000","Yes (NSFAS, etc...)","1-3","Only weekends","3-5","0","1","No","Yes","Very close"
"2024/03/07 5:50:14 pm EET","Female","78","2nd Year","Law","66","Private accommodation/ stay with family/friends","R 6001 - R 7000","No","3-5","1","5-8","3","1","No","Yes","Very close"
"2024/03/07 5:50:23 pm EET","Male","65","1st Year","Economic & Management Sciences","65","Private accommodation/ stay with family/friends","R 4001- R 5000","No","3-5","2","3-5","1","0","No","Yes","Very close"
"2024/03/07 5:51:04 pm EET","Female","82","2nd Year","Engineering","53","Private accommodation/ stay with family/friends","R 4001- R 5000","No","5-8","1","5-8","2","4+","No","Yes","Very close"
"2024/03/07 5:51:05 pm EET","Female","77","1st Year","AgriSciences","62","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","5-8","Only weekends","3-5","0","0","No","Yes","Very close"
"2024/03/07 5:54:33 pm EET","Female","85","2nd Year","Science","65","Private accommodation/ stay with family/friends","R 7001 - R 8000","No","8+","1","5-8","3","0","No","Yes","Very close"
"2024/03/07 5:54:41 pm EET","Female","81","3rd Year","Arts & Social Sciences","62","Private accommodation/ stay with family/friends","R 8000+","No","5-8","Only weekends","5-8","1","1","Yes","Yes","Close"
"2024/03/07 5:54:53 pm EET","Male","77","2nd Year","Economic & Management Sciences","61","Private accommodation/ stay with family/friends","R 7001 - R 8000","No","8+","2","8+","1","1","No","Yes","Very close"
"2024/03/07 5:55:01 pm EET","Male","82","2nd Year","Economic & Management Sciences","73","Private accommodation/ stay with family/friends","R 4001- R 5000","No","5-8","Only weekends","8+","1","0","No","Yes","Fair"
"2024/03/07 5:55:23 pm EET","Female","73","3rd Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","3-5","3","5-8","1","0","No","Yes","Close"
"2024/03/07 5:55:49 pm EET","Male","68","","Arts & Social Sciences","","Private accommodation/ stay with family/friends","R 4001- R 5000","No","3-5","1","8+","0","0","No","Yes","Very close"
"2024/03/07 5:57:46 pm EET","Male","70","2nd Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 7001 - R 8000","No","3-5","1","3-5","0","0","Yes","Yes","Very close"
"2024/03/07 5:58:30 pm EET","Male","75","3rd Year","AgriSciences","64","Private accommodation/ stay with family/friends","R 4001- R 5000","No","3-5","2","3-5","1","0","No","Yes","Very close"
"2024/03/07 5:59:04 pm EET","Male","78","2nd Year","Economic & Management Sciences","62","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","8+","1","5-8","1","1","No","Yes","Very close"
"2024/03/07 5:59:28 pm EET","Female","73","1st Year","Arts & Social Sciences","69","Private accommodation/ stay with family/friends","R 6001 - R 7000","No","3-5","2","3-5","0","0","Yes","Yes","Very close"
"2024/03/07 5:59:33 pm EET","Male","74","2nd Year","Economic & Management Sciences","57","Private accommodation/ stay with family/friends","R 7001 - R 8000","No","5-8","Only weekends","5-8","2","1","No","No","Fair"
"2024/03/07 6:00:19 pm EET","Male","77","1st Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 4001- R 5000","No","5-8","Only weekends","1-3","0","0","Yes","No","Very close"
"2024/03/07 6:00:33 pm EET","Male","66","","Economic & Management Sciences","","Private accommodation/ stay with family/friends","R 4001- R 5000","No","8+","3","8+","0","0","Yes","Yes","Very close"
"2024/03/07 6:00:45 pm EET","Male","80","2nd Year","Engineering","60","Private accommodation/ stay with family/friends","R 8000+","No","0","1","0","4+","0","Yes","Yes","Very close"
"2024/03/07 6:01:01 pm EET","Female","78","1st Year","Economic & Management Sciences","66","Private accommodation/ stay with family/friends","R 4001- R 5000","Yes (NSFAS, etc...)","3-5","Only weekends","5-8","2","3","Yes","No","Very close"
"2024/03/07 6:02:13 pm EET","Male","75","1st Year","Science","50","Non-private accommodation ie. Res","R 4001- R 5000","No","8+","Only weekends","3-5","0","3","No","No",""
"2024/03/07 6:02:13 pm EET","Male","72","1st Year","Economic & Management Sciences","70","Private accommodation/ stay with family/friends","R 6001 - R 7000","No","0","1","8+","0","0","No","Yes","Fair"
"2024/03/07 6:03:28 pm EET","Male","80","3rd Year","Science","65","Private accommodation/ stay with family/friends","R 8000+","No","5-8","1","3-5","0","1","Yes","Yes","Close"
"2024/03/07 6:03:46 pm EET","Male","75","2nd Year","Economic & Management Sciences","72","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","0","Only weekends","8+","4+","0","No","Yes","Close"
"2024/03/07 6:04:29 pm EET","Female","73","2nd Year","Economic & Management Sciences","62","Private accommodation/ stay with family/friends","R 7001 - R 8000","No","8+","2","3-5","1","2","Yes","Yes","Very close"
"2024/03/07 6:04:36 pm EET","Female","86","3rd Year","Science","76","Private accommodation/ stay with family/friends","R 4001- R 5000","No","5-8","1","5-8","1","0","No","Yes","Close"
"2024/03/07 6:04:52 pm EET","Male","70","1st Year","AgriSciences","75","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","5-8","Only weekends","5-8","0","0","Yes","Yes","Very close"
"2024/03/07 6:05:33 pm EET","Female","83","1st Year","Economic & Management Sciences","","","R 6001 - R 7000","No","1-3","Only weekends","5-8","0","0","Yes","Yes","Fair"
"2024/03/07 6:05:33 pm EET","Female","84","","Economic & Management Sciences","","","","","0","3","5-8","0","0","No","Yes","Close"
"2024/03/07 6:05:57 pm EET","Male","85","1st Year","Science","88","Private accommodation/ stay with family/friends","R 4001- R 5000","Yes (NSFAS, etc...)","8+","Only weekends","0","0","0","Yes","Yes","Distant"
"2024/03/07 6:06:00 pm EET","Female","72","2nd Year","Arts & Social Sciences","61","Private accommodation/ stay with family/friends","R 4001- R 5000","No","3-5","Only weekends","1-3","0","0","Yes","Yes","Very close"
"2024/03/07 6:06:21 pm EET","Male","73","1st Year","Economic & Management Sciences","52","Private accommodation/ stay with family/friends","R 4001- R 5000","No","3-5","2","1-3","1","4+","No","Yes","Very close"
"2024/03/07 6:07:35 pm EET","Female","76","Postgraduate","Economic & Management Sciences","79","Private accommodation/ stay with family/friends","R 8000+","No","5-8","2","1-3","0","0","No","Yes","Very close"
"2024/03/07 6:08:05 pm EET","Male","76","1st Year","Engineering","56","Non-private accommodation ie. Res","R 4001- R 5000","No","8+","Only weekends","1-3","0","0","Yes","Yes","Close"
"2024/03/07 6:08:50 pm EET","Male","82","2nd Year","Arts & Social Sciences","70","Non-private accommodation ie. Res","R 4001- R 5000","No","1-3","2","8+","4+","0","Yes","Yes","Close"
"2024/03/07 6:10:05 pm EET","Male","82","2nd Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 4001- R 5000","No","8+","1","5-8","0","0","No","Yes","Very close"
"2024/03/07 6:11:08 pm EET","Male","68","2nd Year","AgriSciences","57","Private accommodation/ stay with family/friends","R 4001- R 5000","No","3-5","1","5-8","1","3","Yes","No","Close"
"2024/03/07 6:11:14 pm EET","Female","84","1st Year","Science","64","Private accommodation/ stay with family/friends","R 4001- R 5000","No","1-3","2","3-5","1","0","No","Yes","Very close"
"2024/03/07 6:11:21 pm EET","Male","79","2nd Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 8000+","No","8+","1","5-8","2","2","No","No","Close"
"2024/03/07 6:11:41 pm EET","Male","89","2nd Year","Economic & Management Sciences","74","Non-private accommodation ie. Res","R 4001- R 5000","No","3-5","1","3-5","0","0","No","Yes","Very close"
"2024/03/07 6:12:43 pm EET","Female","82","2nd Year","Education","73","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","3-5","Only weekends","5-8","0","0","Yes","Yes","Close"
"2024/03/07 6:12:47 pm EET","Female","83","2nd Year","Economic & Management Sciences","51","Private accommodation/ stay with family/friends","R 4001- R 5000","No","8+","Only weekends","1-3","0","4+","Yes","Yes","Fair"
"2024/03/07 6:15:14 pm EET","Male","76","","Economic & Management Sciences","","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","5-8","3","8+","2","0","No","Yes","Very close"
"2024/03/07 6:15:31 pm EET","Male","83","2nd Year","Engineering","60","Non-private accommodation ie. Res","R 4001- R 5000","No","5-8","3","5-8","4+","1","No","Yes","Very close"
"2024/03/07 6:15:48 pm EET","Female","76","2nd Year","Economic & Management Sciences","60","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","3-5","3","5-8","2","2","No","Yes","Very close"
"2024/03/07 6:16:12 pm EET","Male","82","1st Year","Economic & Management Sciences","65","Private accommodation/ stay with family/friends","","Yes (NSFAS, etc...)","1-3","0","0","0","0","No","No","Close"
"2024/03/07 6:16:51 pm EET","Female","76","1st Year","Arts & Social Sciences","54","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","1-3","4+","5-8","4+","3","Yes","Yes","Very close"
"2024/03/07 6:19:15 pm EET","Male","78","1st Year","Science","65","Non-private accommodation ie. Res","R 5001 - R 6000","No","1-3","Only weekends","0","0","2","No","Yes","Very close"
"2024/03/07 6:23:51 pm EET","Male","79","2nd Year","Economic & Management Sciences","64","Private accommodation/ stay with family/friends","R 5001 - R 6000","No","3-5","2","3-5","3","3","Yes","Yes","Very close"
"2024/03/07 6:23:58 pm EET","Female","72","1st Year","Economic & Management Sciences","61","Private accommodation/ stay with family/friends","R 4001- R 5000","No","3-5","1","0","0","1","No","Yes","Very close"
"2024/03/07 6:25:59 pm EET","Male","65","","Science","","Private accommodation/ stay with family/friends","R 6001 - R 7000","Yes (NSFAS, etc...)","3-5","2","8+","1","0","No","Yes","Very close"
"2024/03/07 6:26:53 pm EET","Male","70","Postgraduate","AgriSciences","68","Private accommodation/ stay with family/friends","R 4001- R 5000","No","1-3","3","3-5","2","0","No","Yes","Very close"
"2024/03/07 6:27:21 pm EET","Male","72","2nd Year","Economic & Management Sciences","53","Private accommodation/ stay with family/friends","R 4001- R 5000","No","5-8","Only weekends","8+","0","4+","Yes","Yes","Close"
"2024/03/07 6:28:20 pm EET","Female","74","1st Year","Economic & Management Sciences","73","Non-private accommodation ie. Res","","Yes (NSFAS, etc...)","3-5","1","3-5","0","0","Yes","No","Close"
"2024/03/07 6:28:39 pm EET","Female","76","1st Year","Economic & Management Sciences","50","Non-private accommodation ie. Res","R 7001 - R 8000","No","0","Only weekends","5-8","0","4+","Yes","Yes","Very close"
